1,0,341.58,18.14,16.58,1400,0
2,0,265.21,18.3,16.3,1193,0
3,0,335.04,18.7,17.01,1321.67,0
4,0,314.21,20.82,19.2,1256.25,0
5,0,347.67,22,20.33,1470.41,0
6,0,268.3,23.34,21.81,1381.7,0
7,0,263.8,25.52,24.16,1629.58,0
8,0.017,183.9,25.5,23.35,1165,0
9,0.017,235.3,17.7,16.58,647.5,0
10,0,346.3,15.1,14,1039.2,0
11,0.008,219.1,20,18.57,715.41,0
12,0,186.58,24,22.8,1080,0
13,0,347.37,12.4,11.07,725.83,0
14,0,306.5,8.18,6.88,647.1,0
15,0,351.67,12.4,11,990,0
16,0,334,13.8,12.15,937.1,0
17,0,348.29,16.05,14.28,1055,0
18,0.025,239,19.33,17.71,1201.7,0
19,0,317.58,20.85,18.86,1365.83,0
20,0.425,102.58,18.31,17.45,217.5,0
21,0,289.62,20.28,19.22,434.17,0
22,0.075,181.75,22,20.6,590,0
23,0,325.8,25.87,24.7,1223,0
24,0.008,326.12,27.58,26.24,1593,0
25,0,291.8,27,25.87,880.42,0
26,0,344.5,25.6,24.5,1783.3,0
27,0,336,19.7,18.42,1433.3,0
28,0.042,248,20,18.78,1128.3,0
29,0,357.5,21.24,19.71,1502.1,0
30,0,282,22,20.21,1338.75,0
31,0.17,112.21,19.77,18.85,319.17,0
32,0.058,127.04,18.26,17.1,598,0
33,0,368.58,16.77,15.5,1058.33,0
34,0,358.46,19.3,18,1428,0
35,1.07,86.42,17.68,16.72,466.25,0
36,0.06,300.8,21.31,20.1,898,0
37,0,332.7,22.36,21.02,1040,0
38,0.35,162.83,22.8,21.5,615,0
39,0,242,15.15,14,600.41,0
40,0,303.67,16,14.29,828.75,0
41,0,367.21,20.55,19.32,1263,0
42,0.075,164.75,21.7,21.1,949.17,0
43,1.27,102.8,20.74,20.14,171.25,0
44,0.025,296.54,26.68,25.84,905.83,0
45,0.05,224.33,27.35,26.16,941.67,0
46,0.35,186.58,23.71,22.31,447.1,0
47,0.042,247.25,24.4,23.2,530.42,0
48,0,240.25,20.44,19.24,683.33,0
49,0,205.58,20,19,569.58,0
50,0.02,275.21,18.51,17.3,528.33,0
51,0,326.04,19,17.45,768.75,0
52,0.01,303,22,20.51,928.75,0
53,0,197.71,25,24.02,832.1,0
54,0.025,171.5,16.52,16.52,630.42,0
55,0.94,86.17,15.52,15,283.33,0
56,0,157.62,17.4,16.49,297.1,0
57,0,339.75,21,19.24,940,0
58,0,288.62,21,19.42,795.83,0
59,0,276.29,23,21.7,833.33,0
60,0.06,151.45,23.53,22.66,397.08,0
61,0.2,210.75,24.5,23.26,632.08,0
62,0.2,281.25,24,22.7,606.67,0
63,0,299.17,22.17,21.25,708,0
64,0,168.04,21.1,20.15,438,0
65,0,287.21,23.42,22.17,805.41,0
66,0,285,23.43,22.34,562.1,0
67,1.42,163.3,21.17,20,249.17,0
68,0.01,249.12,20.47,19.21,662.08,0
69,0.14,319.58,19.5,18.03,677.5,0
70,0,342.8,20.44,19.02,687.1,0
71,0.03,317.1,20.72,19.55,686.67,0
72,0.84,230.8,23.15,22.01,536.67,0
73,0,307.8,22.29,21,695.83,0
74,0.31,68.33,16.87,15.86,95.83,0
75,0.01,308.21,19,17.4,640.42,0
76,0.23,64.87,16.38,15.72,74.58,0
77,0.05,305.3,16.51,15.54,498.75,0
78,0,322,17.37,16.1,698.75,0
79,0.43,110.21,15.53,15,181.67,0.079447586
80,0.02,317.67,18.64,17.64,679.17,0.921927643
81,0,275.67,20,18.49,673,2.590009821
82,0,279,21.62,20.26,730.42,4.004708308
83,0.01,286.04,23,21.21,810,6.98882081
84,0,313.83,23.4,22,1003,10.45888888
85,0.05,186.75,22.71,21.35,463,14.65228098
86,0,276.3,23.36,22.46,531.25,19.62242531
87,0.05,260.42,25.16,24.13,611.67,19.62242531
88,0.03,221.87,26,24.7,537.1,26.88102637
89,0.07,218.67,26.36,25.32,485.83,26.88102637
90,0,192.91,26.32,25.17,655.42,26.88102637
91,0.1,223.75,25.1,23.8,393.75,26.88102637
92,0.02,289.62,22,20.38,918.33,41.50328312
93,0,305.5,18.36,16.57,838.75,41.50328312
94,0,288.42,19.33,17.64,896.25,41.50328312
95,0,87.67,19.61,19,215.83,41.50328312
96,0,189.75,24.71,23.75,428.75,41.50328312
97,0,146.33,23.67,22.66,312.08,41.50328312
98,0,232.5,25.66,24.2,802.08,41.50328312
99,0,244.41,27,25.4,862.1,41.50328312
100,0,250.3,27.08,25.6,900.41,41.50328312
101,0,171,25.73,24.67,710.83,41.50328312
102,0,265.83,25.67,24.35,991.25,41.50328312
103,0,221.67,26.2,24.76,967.08,41.50328312
104,0,247.54,27,25.62,1137.08,41.50328312
105,0,250.12,21.3,20.27,1070.83,41.50328312
106,0.36,88.29,18.11,17.51,487.1,41.50328312
107,0.8,65.46,20.21,19.6,44.17,41.50328312
108,0.03,261.21,25,24,831.67,41.50328312
109,0,277.75,20.72,19.5,819.58,41.50328312
110,0,255.17,18.5,16.82,774.17,41.50328312
111,0,157.17,15.66,14.56,501.67,41.50328312
112,0,220.58,18.06,16.86,506.25,41.50328312
113,0,272.7,18.74,17.56,708.33,41.50328312
114,0.3,98.75,19.27,18.16,363.33,41.50328312
115,0.12,134.54,17.6,16.14,313.75,41.50328312
116,0.01,255,17.67,16.51,478,41.50328312
117,1,115.75,19.34,18.4,310.41,41.50328312
118,0.06,190.87,17.82,16.21,303,41.50328312
119,0,262.5,16.15,15,500,41.50328312
120,0,174.04,18.15,17,591.25,41.50328312
121,0.05,184.71,20,18.53,588.75,41.50328312
122,0,238.12,17.16,15.74,550,41.50328312
123,0,171.12,15.78,14.68,361.67,41.50328312
124,1,158.17,18.37,17.19,280,41.50328312
125,0,238,16.62,15.05,605.42,41.50328312
126,0.02,181.58,18.53,17.02,370.41,41.50328312
127,0,229.33,19.43,18.4,686.67,41.50328312
128,0,239.3,14.45,12.82,552.08,41.50328312
129,0,236,15.5,13.85,568.33,41.50328312
130,0,150,19,18.1,481.67,41.50328312
131,1.36,34.21,18.66,18.15,79.17,41.50328312
132,1.14,44.08,19.66,18.97,43.75,41.50328312
133,0.04,0,16,15.7,0,41.50328312
